User Scale,Nodes Required,Aggregate CPU (GHz),Total RAM (PB),Total Storage (PB),GPU Power (PetaFLOPS),Total Traffic (Gbps)
1K,1,83.2,0.000125,0.096,0.0081,5
10K,10,832,0.00125,0.96,0.081,50
50K,50,"4,160",0.00625,4.8,0.405,250
100K,100,"8,320",0.0125,9.6,0.81,500
500K,500,"41,600",0.0625,48,4.05,"2,500"
1M,"1,000","83,200",0.125,96,8.1,"5,000"
10M,"10,000","832,000",1.25,960,81,"50,000"
50M,"50,000","4,160,000",6.25,4800,405,"250,000"
100M,"100,000","8,320,000",12.5,9600,810,"500,000"
500M,"500,000","41,600,000",62.5,48000,4050,"2,500,000"
1B,"1,000,000","83,200,000",125,96000,8100,"5,000,000"
5B,"5,000,000","416,000,000",625,480000,40500,"25,000,000"
10B,"10,000,000","832,000,000",1250,960000,81000,"50,000,000"
